,City,State,Country,BNA Score
489,Brookhaven,GA,US,16
490,Brookings,OR,US,39
491,Brookings,SD,US,26
492,Brookline,MA,US,19
493,Brooklyn,NY,US,67
494,Brooksville,FL,US,12
495,Brookville,IN,US,13
496,Broomfield,CO,US,47
497,Buchanan,MI,US,50
498,Buckeye,AZ,US,27
499,Buckfield,ME,US,43
500,Buckhannon,WV,US,26
501,Buellton,CA,US,28
502,Buena Vista,CO,US,14
503,Buffalo,NY,US,8
504,Buford,GA,US,15
505,Burbank,CA,US,29
506,Burke,VA,US,26
507,Burleson,TX,US,12
508,Burlingame,CA,US,38
509,Burlington,VT,US,60
510,Burlington,IA,US,26
511,Butte-Silver Bow,MT,US,30
512,Caddo Mills,TX,US,32
513,Cadillac,MI,US,58
514,Camarillo,CA,US,16
515,Cambridge,MA,US,65
516,Camden,NJ,US,24
517,Camp Hill,PA,US,28
518,Canandaigua,NY,US,8
519,Canton,GA,US,16
520,Canton,OH,US,20
521,Cape Coral,FL,US,5
522,Capitola,CA,US,16
523,Carlisle,PA,US,38
524,Carlsbad,CA,US,21
525,Carmel,IN,US,58
526,Carpentersville,IL,US,17
527,Carpinteria,CA,US,31
528,Carrboro,NC,US,36
529,Carrollton,GA,US,17
530,Carrollton,TX,US,11
531,Carson,CA,US,14
532,Carson City,NV,US,41
533,Cary,NC,US,33
534,Cary,IL,US,18
535,Casa Grande,AZ,US,39
536,Casper,WY,US,5
537,Casselberry,FL,US,8
538,Castle Pines,CO,US,31
539,Castle Rock,CO,US,23
540,Castro Valley,CA,US,19
541,Catskill,NY,US,14
542,Cañon City,CO,US,6
543,Cedar City,UT,US,24
544,Cedar Falls,IA,US,47
545,Cedar Grove,NJ,US,18
546,Cedar Hill,TX,US,11
547,Cedar Rapids,IA,US,28
548,Celina,TX,US,14
549,Centennial,CO,US,12
550,Centerton,AR,US,10
551,Centerville,OH,US,32
552,Centerville,UT,US,17
553,Central City,CO,US,10
554,"Central Core, Austin",TX,US,39
555,Chamblee,GA,US,9
556,Champaign,IL,US,23
557,Chandler,AZ,US,26
558,Chanhassen,MN,US,30
559,Chantilly,VA,US,26
560,Chapel Hill,NC,US,32
561,Charleston,SC,US,9
562,Charleston,WV,US,22
563,Charlotte,NC,US,29
564,Charlottesville,VA,US,23
565,Chattanooga,TN,US,21
566,Chautauqua,NY,US,67
567,Chelmsford,MA,US,7
568,Chelsea,MI,US,50
569,Cherry Hill,NJ,US,26
570,Cherry Hills Village,CO,US,20
571,Chesapeake,VA,US,20
572,Chester,MD,US,16
573,Cheyenne,WY,US,7
574,Chicago,IL,US,7
575,Chico,CA,US,49
576,China Grove,NC,US,8
577,Chino,CA,US,21
578,Chino Hills,CA,US,25
579,Christiansburg,VA,US,24
580,Chula Vista,CA,US,23
581,Chunchula,AL,US,50
582,Cicero,IN,US,14
583,Cincinnati,OH,US,25
584,Claremont,CA,US,22
585,Clarkston,GA,US,9
586,Clarksville,TN,US,24
587,Clearwater,FL,US,9
588,Cleburne,TX,US,8
589,Clemson,SC,US,13
590,Clermont,FL,US,13
591,Cleveland,OH,US,29
592,Cleveland,TN,US,35
593,Clinton,NY,US,14
594,Clinton Township,MI,US,24
595,Closter,NJ,US,28
596,Clovis,CA,US,23
597,Cochituate,MA,US,11
598,Cockrell Hill,TX,US,10
599,Coeur D'Alene,ID,US,44
600,College Park,MD,US,20
601,College Park,GA,US,7
602,College Station,TX,US,19
603,Colleyville,TX,US,25
604,Collier County,FL,US,13
605,Collierville,TN,US,17
